Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2017,Годовая,Национальный,_L_KG_030501_1,Нарынская область,,PER_100000_POP,1.1
2018,Годовая,Национальный,_L_KG_030501_1,Нарынская область,,PER_100000_POP,4.0
2010,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Женщины,PER_100000_POP,0.8
2014,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Женщины,PER_100000_POP,0.7
2018,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Женщины,PER_100000_POP,0.0
2010,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Мужчины,PER_100000_POP,3.0
2013,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Мужчины,PER_100000_POP,0.7
2014,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Мужчины,PER_100000_POP,6.5
2015,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Мужчины,PER_100000_POP,2.9
2017,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Мужчины,PER_100000_POP,2.1
2018,Годовая,Национальный,_L_KG_030501_1,Нарынская область,Мужчины,PER_100000_POP,7.0
2010,Годовая,Национальный,_L_KG_030501_1,Ошская область,,PER_100000_POP,1.6
2013,Годовая,Национальный,_L_KG_030501_1,Ошская область,,PER_100000_POP,2.3
2014,Годовая,Национальный,_L_KG_030501_1,Ошская область,,PER_100000_POP,0.8
2015,Годовая,Национальный,_L_KG_030501_1,Ошская область,,PER_100000_POP,1.8
2016,Годовая,Национальный,_L_KG_030501_1,Ошская область,,PER_100000_POP,0.9
2017,Годовая,Национальный,_L_KG_030501_1,Ошская область,,PER_100000_POP,0.5
2018,Годовая,Национальный,_L_KG_030501_1,Ошская область,,PER_100000_POP,26.0
2014,Годовая,Национальный,_L_KG_030501_1,Ошская область,Женщины,PER_100000_POP,0.2
2018,Годовая,Национальный,_L_KG_030501_1,Ошская область,Женщины,PER_100000_POP,0.0
2010,Годовая,Национальный,_L_KG_030501_1,Ошская область,Мужчины,PER_100000_POP,3.2
2013,Годовая,Национальный,_L_KG_030501_1,Ошская область,Мужчины,PER_100000_POP,4.5
2014,Годовая,Национальный,_L_KG_030501_1,Ошская область,Мужчины,PER_100000_POP,1.5
2015,Годовая,Национальный,_L_KG_030501_1,Ошская область,Мужчины,PER_100000_POP,3.5
2016,Годовая,Национальный,_L_KG_030501_1,Ошская область,Мужчины,PER_100000_POP,1.9
2017,Годовая,Национальный,_L_KG_030501_1,Ошская область,Мужчины,PER_100000_POP,0.9
2018,Годовая,Национальный,_L_KG_030501_1,Ошская область,Мужчины,PER_100000_POP,52.0
2010,Годовая,Национальный,_L_KG_030501_1,Таласская область,,PER_100000_POP,6.9
2013,Годовая,Национальный,_L_KG_030501_1,Таласская область,,PER_100000_POP,3.3
2014,Годовая,Национальный,_L_KG_030501_1,Таласская область,,PER_100000_POP,4.1
2015,Годовая,Национальный,_L_KG_030501_1,Таласская область,,PER_100000_POP,7.2
2016,Годовая,Национальный,_L_KG_030501_1,Таласская область,,PER_100000_POP,2.0
2017,Годовая,Национальный,_L_KG_030501_1,Таласская область,,PER_100000_POP,1.6
2018,Годовая,Национальный,_L_KG_030501_1,Таласская область,,PER_100000_POP,19.0
2010,Годовая,Национальный,_L_KG_030501_1,Таласская область,Женщины,PER_100000_POP,0.9
2014,Годовая,Национальный,_L_KG_030501_1,Таласская область,Женщины,PER_100000_POP,0.8
2018,Годовая,Национальный,_L_KG_030501_1,Таласская область,Женщины,PER_100000_POP,0.0
2010,Годовая,Национальный,_L_KG_030501_1,Таласская область,Мужчины,PER_100000_POP,13.0
2013,Годовая,Национальный,_L_KG_030501_1,Таласская область,Мужчины,PER_100000_POP,6.6
2014,Годовая,Национальный,_L_KG_030501_1,Таласская область,Мужчины,PER_100000_POP,7.3
2015,Годовая,Национальный,_L_KG_030501_1,Таласская область,Мужчины,PER_100000_POP,14.3
2016,Годовая,Национальный,_L_KG_030501_1,Таласская область,Мужчины,PER_100000_POP,3.9
2017,Годовая,Национальный,_L_KG_030501_1,Таласская область,Мужчины,PER_100000_POP,3.1
2018,Годовая,Национальный,_L_KG_030501_1,Таласская область,Мужчины,PER_100000_POP,38.0
2010,Годовая,Национальный,_L_KG_030501_1,Чуйская область,,PER_100000_POP,31.8
2013,Годовая,Национальный,_L_KG_030501_1,Чуйская область,,PER_100000_POP,20.4
2014,Годовая,Национальный,_L_KG_030501_1,Чуйская область,,PER_100000_POP,15.2
2015,Годовая,Национальный,_L_KG_030501_1,Чуйская область,,PER_100000_POP,12.3
2016,Годовая,Национальный,_L_KG_030501_1,Чуйская область,,PER_100000_POP,17.3
2017,Годовая,Национальный,_L_KG_030501_1,Чуйская область,,PER_100000_POP,11.3
2018,Годовая,Национальный,_L_KG_030501_1,Чуйская область,,PER_100000_POP,64.0
2010,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Женщины,PER_100000_POP,2.7
2013,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Женщины,PER_100000_POP,0.5
2014,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Женщины,PER_100000_POP,0.9
2015,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Женщины,PER_100000_POP,1.6
2016,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Женщины,PER_100000_POP,2.0
2017,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Женщины,PER_100000_POP,0.4
2018,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Женщины,PER_100000_POP,8.0
2010,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Мужчины,PER_100000_POP,61.9
2013,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Мужчины,PER_100000_POP,41.1
2014,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Мужчины,PER_100000_POP,29.9
2015,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Мужчины,PER_100000_POP,23.3
2016,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Мужчины,PER_100000_POP,33.1
2017,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Мужчины,PER_100000_POP,22.5
2018,Годовая,Национальный,_L_KG_030501_1,Чуйская область,Мужчины,PER_100000_POP,122.0
2010,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,,PER_100000_POP,37.2
2013,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,,PER_100000_POP,22.1
2014,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,,PER_100000_POP,23.3
2015,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,,PER_100000_POP,16.0
2016,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,,PER_100000_POP,20.7
2017,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,,PER_100000_POP,9.1
2018,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,,PER_100000_POP,132.0
2010,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Женщины,PER_100000_POP,6.6
2013,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Женщины,PER_100000_POP,2.1
2014,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Женщины,PER_100000_POP,4.6
2015,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Женщины,PER_100000_POP,0.8
2016,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Женщины,PER_100000_POP,1.2
2017,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Женщины,PER_100000_POP,0.9
2018,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Женщины,PER_100000_POP,9.0
2010,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Мужчины,PER_100000_POP,72.5
2013,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Мужчины,PER_100000_POP,45.1
2014,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Мужчины,PER_100000_POP,44.7
2015,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Мужчины,PER_100000_POP,33.5
2016,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Мужчины,PER_100000_POP,43.0
2017,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Мужчины,PER_100000_POP,18.3
2018,Годовая,Национальный,_L_KG_030501_1,г. Бишкек,Мужчины,PER_100000_POP,272.0
2010,Годовая,Национальный,_L_KG_030501_1,г. Ош,,PER_100000_POP,15.5
2013,Годовая,Национальный,_L_KG_030501_1,г. Ош,,PER_100000_POP,5.3
2014,Годовая,Национальный,_L_KG_030501_1,г. Ош,,PER_100000_POP,6.7
2015,Годовая,Национальный,_L_KG_030501_1,г. Ош,,PER_100000_POP,16.8
2016,Годовая,Национальный,_L_KG_030501_1,г. Ош,,PER_100000_POP,13.3
2017,Годовая,Национальный,_L_KG_030501_1,г. Ош,,PER_100000_POP,2.8
2018,Годовая,Национальный,_L_KG_030501_1,г. Ош,,PER_100000_POP,99.0
2010,Годовая,Национальный,_L_KG_030501_1,г. Ош,Женщины,PER_100000_POP,1.5
2013,Годовая,Национальный,_L_KG_030501_1,г. Ош,Женщины,PER_100000_POP,0.7
2015,Годовая,Национальный,_L_KG_030501_1,г. Ош,Женщины,PER_100000_POP,0.7
2018,Годовая,Национальный,_L_KG_030501_1,г. Ош,Женщины,PER_100000_POP,20.0
2010,Годовая,Национальный,_L_KG_030501_1,г. Ош,Мужчины,PER_100000_POP,30.8
2013,Годовая,Национальный,_L_KG_030501_1,г. Ош,Мужчины,PER_100000_POP,10.3
2014,Годовая,Национальный,_L_KG_030501_1,г. Ош,Мужчины,PER_100000_POP,14.0
2015,Годовая,Национальный,_L_KG_030501_1,г. Ош,Мужчины,PER_100000_POP,34.2
2016,Годовая,Национальный,_L_KG_030501_1,г. Ош,Мужчины,PER_100000_POP,27.5
2017,Годовая,Национальный,_L_KG_030501_1,г. Ош,Мужчины,PER_100000_POP,5.8
2018,Годовая,Национальный,_L_KG_030501_1,г. Ош,Мужчины,PER_100000_POP,18.3
